IS_ANDROID VERSION,IS_APP USABILITY,IS_BATTERY,IS_COMPLAINT,IS_DEVICE,IS_HARDWARE,IS_LICENSING,IS_MEMORY,IS_PERFORMANCE,IS_PRICE,IS_PRIVACY,IS_SECURITY,IS_UI,Unnamed: 0,_id,app,appVersion,author,date,ratingStars,reviewText
1,0,0,1,0,0,0,0,0,0,0,0,0,527,7cb10a82-afc9-11e6-8c1b-c4b301cdf627,DashClock Widget,,,03.11.16,4,Great  but broken 5.0 onward Dashclock was brilliant  but be aware that changes in the Android system have made it non-functional on the lock screen with lollipop and after. (Still works as desktop widget.) AFAIK  it would require xposed framework and root to work. This is not dev's fault  but should be made clear. (If it can be made to work  he deserves more than five stars.) If you don't like it  complain to Google - my view is that apart from technical improvements  it's downhill after jb.
0,0,1,1,0,0,0,0,0,0,0,0,0,528,7cb11057-afc9-11e6-9dec-c4b301cdf627,DashClock Widget,,,24.10.16,1,Massive battery drain
0,0,0,1,0,1,0,0,0,0,1,0,0,529,7cb1134f-afc9-11e6-8aa7-c4b301cdf627,DashClock Widget,,,18.10.16,3,The weather  music is not displaying any data. The weather is not displaying any data. Even my gps set to high accuracy  give all permission on this app but no luck and search location is not working.
0,0,0,0,0,0,0,0,0,0,0,0,0,530,7cb11c99-afc9-11e6-969a-c4b301cdf627,DashClock Widget,,,03.10.16,5,Pretty cool. A good stylish way to personalize your android experience. All the options of information one could want on their screen.
1,0,0,1,0,0,0,0,0,0,0,0,1,531,7cb11e33-afc9-11e6-a190-c4b301cdf627,DashClock Widget,,,02.10.16,2,"Hi Roman  I wanted to have a list from wunderlist in the lock screen of my marshmallow android phone  but I can only see it working in the home page screens. I can?t see it working on the lock screen.. no matter how I try. I even tried installing the """"""""""""""""""""""""""""""""Better Dashlock Widget"""""""""""""""""""""""""""""""" app  that apparently I should pay in 24 hours. But still does not work. What should I do to have it working? please help and I will be happy to give you a good rating. Thanks"""""
0,0,0,1,0,0,0,0,0,0,0,0,1,532,7cb1247d-afc9-11e6-9428-c4b301cdf627,DashClock Widget,,,18.09.16,3,Text is too big No ability to have a smaller text? Text is to big
1,0,0,1,1,0,0,0,0,0,0,0,0,533,7cb13068-afc9-11e6-baa9-c4b301cdf627,DashClock Widget,,,30.08.16,3,Was great  now partially broken This was my favorite home screen clock but the past few weeks the weather doesn't work on my Axon 7 or Nexus 6 both running marshmallow. Please fix.
0,0,0,0,0,0,0,0,0,0,0,0,1,534,7cb13307-afc9-11e6-b304-c4b301cdf627,DashClock Widget,,,25.08.16,4,Great but would love a few small tweaks Any way to edit the font size for the extensions like weather  battery info  etc. I like keeping a minimalist home screen with small lettering and this just looks bulky. Would be happy to give 5 stars if this is possible.
1,0,0,1,1,0,0,0,0,0,0,0,0,535,7cb1394f-afc9-11e6-a297-c4b301cdf627,DashClock Widget,,,05.08.16,1,Not working... Can't add widget to homescreen on s6 edge marshmallow.
0,0,0,0,0,0,0,0,0,1,0,0,0,536,7cb143a8-afc9-11e6-8ba3-c4b301cdf627,DashClock Widget,,,04.07.16,5,Great Clean  minimalistic  and free and it actually works what more can you ask for?
1,0,0,1,0,0,0,0,0,0,0,0,0,537,7cb145cf-afc9-11e6-b91f-c4b301cdf627,DashClock Widget,,,24.06.16,1,Cannot install on lollipop. Getting error code -505
1,0,0,1,1,0,0,0,0,0,0,0,0,538,7cb14e21-afc9-11e6-be64-c4b301cdf627,DashClock Widget,,,04.06.16,1,"Not working with marshmallow One plus one  since there is not option of """"""""""""""""""""""""""""""""Enable Lock Screen Widgets"""""""""""""""""""""""""""""""" in lock screen or security settings"""""
