IS_ANDROID VERSION,IS_APP USABILITY,IS_BATTERY,IS_COMPLAINT,IS_DEVICE,IS_HARDWARE,IS_LICENSING,IS_MEMORY,IS_PERFORMANCE,IS_PRICE,IS_PRIVACY,IS_SECURITY,IS_UI,Unnamed: 0,_id,app,appVersion,author,date,ratingStars,reviewText
0,0,0,0,0,0,0,0,0,1,0,0,0,1570,7c02fb42-afc9-11e6-9553-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,11.11.16,5,Great job! Really  you have made a great application. I donated to help support this app. It's very customizable and feature packed. Definitely an app to check out.
0,0,0,1,0,0,0,0,1,0,0,0,0,1571,7c02fc3a-afc9-11e6-9bc7-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,11.11.16,1,"Keep freezing all the time. A lot of bugs inside thapp  it's more frustrating than anything else. Love the fact that it is linked to """"""""""""""""""""""""""""""""Should I answer"""""""""""""""""""""""""""""""" application!"""""
0,0,0,0,0,0,1,0,0,1,0,0,1,1572,7c03052e-afc9-11e6-b68a-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,01.11.16,5,Very nicely done I really like this sms app. This app is so much nicer than the standard Google sms app (messenger). Lots of features can be configured  such as turning off the avatars in the conversation window so you have more room for the actual messages. The code is open source which is very cool. There are no ads. It is free with a donate button in the app  I certainly sent the developer a donation.
1,0,0,1,0,1,0,0,1,0,0,0,0,1573,7c030928-afc9-11e6-912e-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,30.10.16,2,MMS issue and slow to launch It looks good  But can't not send pictures taken from camera on the app. Need to use my camera to take the pic then go to the app and select the pic from the gallery to send. Takes up to 2.5/3 secs to open. Not good.
0,0,0,0,0,0,1,0,0,0,0,0,0,1574,7c030b3d-afc9-11e6-839c-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,28.10.16,5,Just started... but I'm liking it so far. By far the best part is that its ad free. Good job devs.
0,0,0,0,0,0,0,0,0,0,0,0,0,1575,7c031547-afc9-11e6-8098-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,23.10.16,3,Add private box I want to install this app but just bcoz of no private boz i prefer go sms over it so plz build as soon as possible i want to install it.
0,0,0,0,0,0,0,0,0,1,0,0,1,1576,7c03194c-afc9-11e6-87ad-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,19.10.16,5,Amazing Coming from iOS  the only thing I miss is Apple's obsessive attention to detail. So QKSMS is a treasure to me! Fantastic functionality (popup replies  text delay  customisability  proximity sensor  etc) AND design. Things like having the choice to hide contacts' phone numbers on the messaging screen are a really nice touch. Devs: would like to see a grey icon option and some slick animations in Conversations page  but that's honestly all I can think of. Will donate on payday!
0,0,0,1,0,0,0,0,1,0,0,0,1,1577,7c031db5-afc9-11e6-80d6-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,11.10.16,4,Text won't show on home screen. Sometimes freezes when I enter the app
0,0,0,1,0,0,0,0,1,0,0,0,0,1578,7c032035-afc9-11e6-9efb-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,10.10.16,2,Good but bad The app is always unresponsive and freezes our fist out crashes. It does one of the 3 on average about every 4 days. I have officially begun trying out for a new app now
0,0,0,1,1,0,1,0,0,1,0,0,1,1579,7c0320b8-afc9-11e6-856f-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,08.10.16,4,"Attractive  useful SMS default replacement. This app offers your choice of background colors  delivery confirmation  access to send from notification bar  works with """"""""""""""""""""""""""""""""Should I Answer?"""""""""""""""""""""""""""""""" and is ad free. You may donate  if you like  through the app. Unfortunately  MMS does not work on my Moto G because my SIM shows multiple APN's  none of which is my phone company. I have sent QK messages to clear this up. But ironically  they do not receive my messages!"""""
0,0,0,1,1,1,0,0,0,0,0,0,1,1580,7c032978-afc9-11e6-b748-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,30.09.16,4,Nice design and functions well. Proximity sensor to call is a bit broken. When I place my phone on a desk while in a conversation it will start a call. Fix that and customizable swipe functions like mark as read or delete a conversation and this app would get 5 stars. - Running on OnePlus 3 PureCM Rom
0,0,0,1,0,0,0,0,1,0,0,0,0,1581,7c032d6b-afc9-11e6-9add-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,27.09.16,2,Great when it works... but had to reinstall it a few times now...this time I haven't reinstalled. Now using my standard SMS App that come with the phone. Kept on freezing  numbers show only - no names. Tried to send the crash report when asked to ...but that froze as well.
1,0,1,1,0,0,0,1,0,0,0,0,0,1582,7c033000-afc9-11e6-8c8b-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,22.09.16,1,Lollipop 5.1.1 Battery-draining memory hog. Consumes far too much memory while running in the background. 200 themes? Where are they? All I found were colors. UNINSTALLED!
0,0,0,1,0,0,0,0,0,0,0,0,1,1583,7c0331fa-afc9-11e6-8349-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,21.09.16,4,Brilliant I'd have given the app 5 stars of it wasn't for how small the reply window is. Make this bigger please to use more of the screen space available.
0,0,0,1,0,0,0,0,0,0,0,0,1,1584,7c033405-afc9-11e6-aadf-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,18.09.16,4,Love at first sight. I was looking for an app to replace my stock sms app. Messenger by Google was nice but too simple and lacked customization. There is a small glitch in menu I noticed when toggling options some other switches appear to move. Also some options appear to be 'on' but are greyed out.
0,0,0,1,0,0,0,1,1,0,0,0,1,1585,7c033966-afc9-11e6-b659-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,11.09.16,2,It's really nice Really clean and nice but still needs to be optimized better. Uses a lot of ram and there's some graphical lag from time to time. Also I hope they add in a feature so notification won't vibrate when on sound mode
0,0,0,0,0,0,0,0,0,0,0,0,1,1586,7c033ae3-afc9-11e6-8f35-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,11.09.16,4,Nice  but please add more costumization and on a tablet looked so small abou the view.
0,0,0,0,0,0,1,0,0,1,0,0,0,1587,7c03476e-afc9-11e6-ad1e-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,02.09.16,5,Best free stock alternative As good or better than paid apps. No ads! Make a donation keep dev going.
0,0,0,0,0,0,0,0,0,0,0,0,1,1588,7c03534c-afc9-11e6-98b8-c4b301cdf627,QKSMS - Open Source SMS & MMS,,,27.08.16,4,Best out The best messenger out one small update would be cool to make the emoji's larger or add animation to them that would be cool! Over this is really nice.
