IS_ANDROID VERSION,IS_APP USABILITY,IS_BATTERY,IS_COMPLAINT,IS_DEVICE,IS_HARDWARE,IS_LICENSING,IS_MEMORY,IS_PERFORMANCE,IS_PRICE,IS_PRIVACY,IS_SECURITY,IS_UI,Unnamed: 0,_id,app,appVersion,author,date,ratingStars,reviewText
0,0,0,0,0,0,0,0,0,0,0,0,1,4826,57291d15507c69054da8eddf,SeriesGuide,29.0.4,Kasey Anderson,27.04.16,5,"Use To Be Great! I use this app daily, I would love to see more options for keeping track of movies watched vs movies owned and movies needed for my collection."
0,0,0,0,0,0,0,0,0,0,0,0,1,4827,57291d15507c69054da8ede0,SeriesGuide,29.0.4,Arjunsinh Jadeja,25.04.16,5,Beyond good. This app is truly awesome. The UI is both beautiful and functional. And the offline caching system is excellent. Now I can't manage without this app.
0,0,0,1,0,0,0,0,0,0,0,0,0,4828,57291d18507c69054da8ede2,SeriesGuide,29.0.4,Turnee Tulika Saha,23.04.16,3,Can't add some shows Why can't I add iron fist or the defenders on the list?
0,1,0,0,0,0,0,0,0,0,0,0,1,4829,57291d18507c69054da8ede4,SeriesGuide,29.0.4,Fahim Faisal,22.04.16,5,"It works incredibly well and very intuitive to use So out of all the TV Trackers, IMO this is the best one. It looks great, the UI is very easy to use and even though it looks like a simple app, it does have a ton of customization options. And the X-Pass is great if you have multiple devices, or just appreciate the dev who single handedly made this."
0,0,0,0,0,0,0,0,0,0,0,0,0,4830,57291d19507c69054da8ede7,SeriesGuide,29.0.4,Qin Lei,20.04.16,3,Missing a lot of series Otherwise a great app
0,1,0,0,0,0,0,0,0,0,0,0,0,4831,57291d20507c69054da8edea,SeriesGuide,29.0.4,Alan Pigott,17.04.16,4,"Pretty much perfect Easy to use, no problems with crashes or anything like that, I don't like the way TV shows is the default (it is called Series Guide, so I new it would be tv biased) I'm more of a film watcher- but I've found this to be the best trakt app"
0,0,0,0,0,0,0,0,0,0,0,0,1,4832,57291d34507c69054da8edeb,SeriesGuide,29.0.4,Michael Allport,16.04.16,3,"Add TV Show to watchlist?? If I had the option to add TV Shows straight to my trakt TV Shows Watchlist, the same way it lets me add movies to my watchlist, then this would be a 5 star app but because this option isn't there, it makes it a little awkward to use for me :("
0,0,0,1,0,0,0,0,0,0,0,0,1,4833,57291d3a507c69054da8edf3,SeriesGuide,29.0.4,Terence Toh,13.04.16,3,"interface is pretty nice. with the dark theme even more so. frustrating thing is, syncing doesn't seem to work, i have it on 2 of my devices and sometimes i have to manually update the watched episodes then the widget since it does not update itself. It would be nice if the widget would be allow to refresh automatically."
0,0,0,1,0,0,1,0,0,0,0,0,0,4834,57291d3a507c69054da8edf4,SeriesGuide,29.0.4,A Google User,13.04.16,4,Great but Would love to buy the full version but the trakt sync never seems to work. Have to keep marking the same show as seen over and over again so just disconnect it.
0,0,0,0,0,0,0,0,0,0,0,0,1,4835,57291d4c507c69054da8ee01,SeriesGuide,29.0.4,TamÌÁs MÌ_ller,02.04.16,3,Good app really needs a backup/sync across devices feature
0,0,0,1,0,0,0,0,0,0,0,0,1,4836,57291d54507c69054da8ee0c,SeriesGuide,29.0.4,Meghan Green,24.03.16,5,Font too small What's up with the update? Why did we need the font to shrink?
0,0,0,0,0,0,0,0,0,0,0,0,0,4837,57291d58507c69054da8ee0f,SeriesGuide,29.0.4,Khalid Aden,22.03.16,5,How do u view it
0,0,0,1,0,0,0,0,0,0,0,0,0,4838,57291d13507c69054da8edda,SeriesGuide,29.0.4,Morgan Couture,30.04.16,1,"Can't restore backup Used it for a long time. Changed my phone recently, did a backup, and now can't restore it.."
0,0,0,0,0,0,0,0,0,0,0,0,0,4840,57291d13507c69054da8eddc,SeriesGuide,29.0.4,Utkarsh Singh,29.04.16,5,Must have App for TV series freak!!
0,0,0,1,0,0,0,0,0,0,0,0,0,4841,57291d13507c69054da8eddd,SeriesGuide,29.0.4,Symon Godfrey,28.04.16,1,"No images. No images of anything for me the app... Im going to stick with showly, bummer."
0,0,0,0,0,0,0,0,0,0,0,0,0,4842,57291d15507c69054da8edde,SeriesGuide,29.0.4,Ciprian Nedelcu,27.04.16,2,Watched Where is what I watched? Removed watched status from movies? Why?
0,0,0,0,0,0,0,0,0,0,0,0,0,4843,57291d15507c69054da8ede1,SeriesGuide,29.0.4,Jacob Pryor,25.04.16,4,"Good Tv portion is great, movie portion is nice but often inaccurate."
0,0,0,1,0,0,0,0,0,0,0,1,0,4844,57291d18507c69054da8ede3,SeriesGuide,29.0.4,Andi Paunescu,23.04.16,3,"Out of sync Seems that lately this app is going out of sync with trakt. I'm tracking the series from pc and ios apps as well, and it just doesn't update with the ones that I've seen."
0,0,0,1,0,0,0,0,0,0,0,0,0,4845,57291d19507c69054da8ede5,SeriesGuide,29.0.4,Oakridge chris,21.04.16,5,Cool App though the show updates are off at times but love the app otherwise.
0,0,0,0,0,0,0,0,0,0,0,0,0,4846,57291d19507c69054da8ede8,SeriesGuide,29.0.4,M. Foster,20.04.16,1,empty
