IS_ANDROID VERSION,IS_APP USABILITY,IS_BATTERY,IS_COMPLAINT,IS_DEVICE,IS_HARDWARE,IS_LICENSING,IS_MEMORY,IS_PERFORMANCE,IS_PRICE,IS_PRIVACY,IS_SECURITY,IS_UI,Unnamed: 0,_id,app,appVersion,author,date,ratingStars,reviewText
0,0,0,1,0,0,0,0,0,0,0,0,0,2016,5729c498507c690b8e0bd96a,c:geo,12.04.16,Lorenzo Bennett,29.04.16,1,Fails to login I can't login!
0,0,0,1,0,0,0,0,0,0,0,0,0,2017,5729c49f507c690b8e0bd971,c:geo,12.04.16,Amelia Byrne,19.04.16,4,"Not perfect, but 100 x better that Ground speak app It has a few bugs to fix, but I can't even pinpoint exactly what those are. And it's waaay better than any other geocaching apps available on the play store."
0,0,0,0,0,0,0,0,0,0,0,0,0,2018,5729c4a2507c690b8e0bd976,c:geo,12.04.16,Usirew 01,17.04.16,5,Very good and reliable I cant imagine much better geocaching app than this.
0,0,0,1,0,0,0,0,0,0,0,0,1,2019,5729c4ae507c690b8e0bd986,c:geo,12.04.16,Me,14.04.16,3,Always improving - until now! Recent update has given me a problem zooming in on open street maps
0,0,0,0,0,0,0,0,0,0,0,0,0,2020,5729c4ae507c690b8e0bd987,c:geo,12.04.16,Todd Barrow,14.04.16,4,"Wish I could see ALL logs I love this app. It's perfect except for one thing- It doesn't let you see all of the log entries for the caches, especially if there are a lot. Those entries contain vital info to find caches sometimes and I hate that I have to leave the app to find them. Something else that would be nice is the ability to upload .gpx trails onto the maps. Already the best geocaching app, but change add that stuff and it's 5 stars for sure."
0,0,0,1,0,0,0,0,0,0,0,0,0,2021,5729c4a8507c690b8e0bd97c,c:geo,12.04.16,samantha heward,15.04.16,1,Does not work
0,0,0,0,0,0,0,0,0,0,0,0,0,2022,5729c498507c690b8e0bd967,c:geo,12.04.16,from Mars,02.05.16,5,best app with osm map data.
0,0,0,1,0,0,0,0,1,0,0,0,1,2023,5729c498507c690b8e0bd968,c:geo,12.04.16,heather48317,30.04.16,5,"Works for me I've used the same app since day one. I really like it but sometimes, when I click hide found and owned caches, they still come up making it longer to load. Other than that, it's been good for me."
0,0,0,1,0,0,0,0,0,0,0,0,0,2024,5729c498507c690b8e0bd969,c:geo,12.04.16,Raini Way,30.04.16,1,Only had setting acreen And I literally can't go anywhere. Uninstalling less than 10 minutes after installing.
0,0,0,0,0,0,0,0,0,0,0,0,0,2025,5729c498507c690b8e0bd96b,c:geo,12.04.16,Megan Knox,25.04.16,5,Great game for the family and friends Great
0,0,0,0,0,0,0,0,0,0,0,0,0,2026,5729c49e507c690b8e0bd96c,c:geo,12.04.16,Magnon Damant,25.04.16,5,Great software
0,0,0,1,0,0,1,0,0,1,0,0,0,2027,5729c49e507c690b8e0bd96d,c:geo,12.04.16,Jan Beinersdorf,23.04.16,5,"A very useful geocaching app, I stopped looking for anything else a long time ago. It has gotten more and more stable over the years - I have been using it since I got my first Android phone back in 2010 - and it is almost perfect: Off-line cache lists and off-line maps are especially useful, they save a lot of data. There are still some minor glitches, but mostly it is stable. Furthermore it is a free, and nowadays it is open source, so whenever Groundspeaks decides to modify their web pages it only takes a few hours until someone fixes the things that were broken by them."
0,0,0,1,0,0,0,0,0,0,0,0,0,2028,5729c49e507c690b8e0bd96e,c:geo,12.04.16,Steff L,22.04.16,4,Great app Better than the official app! Only issue I've encountered so far is that some of the caches we've logged on the website don't show that we've found them on the app. Otherwise it's great!
0,0,0,0,0,0,0,0,0,0,0,0,0,2029,5729c49f507c690b8e0bd96f,c:geo,12.04.16,Jade Serenity,21.04.16,5,Always spot on using live map
0,0,0,0,0,0,0,0,0,0,0,0,0,2030,5729c49f507c690b8e0bd970,c:geo,12.04.16,Sarah McNaught,20.04.16,5,Great app Won't use anything else for geocaching.
0,0,0,0,0,0,0,0,0,0,0,0,0,2031,5729c49f507c690b8e0bd972,c:geo,12.04.16,Keith Buck,18.04.16,5,Good Yes
0,0,0,0,0,0,0,0,0,0,0,0,0,2032,5729c49f507c690b8e0bd973,c:geo,12.04.16,Miriam Jelinkova,18.04.16,4,Best one
0,0,0,1,0,0,1,0,0,0,0,0,0,2033,5729c4a2507c690b8e0bd974,c:geo,12.04.16,Ali Marr,17.04.16,2,? am I getting incorrect coordinates because I am not a premium member?
