Unnamed: 0,Unnamed: 0.1,id,app,reviewText,date,ratingStars
296527,385755,6658ada8-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Have to pay to do the Simplest thing.,January 20 2017,1
296528,385756,66903869-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Great app!! Love it  haven't found anything better for a smart tv yet,January 19 2017,5
296529,385758,670393ab-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Perfect. Does what is says it will,January 19 2017,5
296530,385760,684e632d-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Horrible! Super slow Nd does not work with my Samsung smart TV! Waste of time!,January 17 2017,1
296531,385761,6885edee-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,This is not best but acceptable.,January 17 2017,4
296532,385762,68bfe9af-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Sucks and confusing,January 17 2017,1
296533,385763,69bdd1b0-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,This is frikin great Free!!! I have been searching and searching for an app that works so i can seamlessly watch web videos from my cell to my Samsung smart TV. This is it. Have been using now for a year and i can't live with out it and the free option is amazing. Thank you for bringing the joy of more free awesomeness to my cell and to my TV.,January 17 2017,5
296534,385764,69f81b91-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,love it!!! Easy to work! Does what it's suppose to do!!!!!,January 16 2017,5
296535,385765,6a326572-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Good for the most part. Alot of ads and paid content that should be free though.,January 16 2017,4
296536,385766,6a6d99b3-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,I love it! Took me a while to figure out how it works cause it's not intuitive. But once I actually read how  it worked!,January 16 2017,5
296537,385767,6b8aa274-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Crap app. Doesn't work  gave it 5 minutes omu time and quit. Not very intuitive  actually it's the exact opposite of intuitive.,January 16 2017,1
296538,385768,6bc2c975-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Could be a little friendlier? Mechanically and technically works great but it's a little difficult to understand the instructions. I was not sure what they meant by browser  and it's not obvious how to get a link loaded. Sending the link from another app like YouTube works well. Android 5 on a phone and Samsung TV.,January 16 2017,4
296539,385769,6bfe99f6-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,مفيدالنادر It's very good but if developed to Contains browsing by Web serch like Google.opera uc browser in this case will be great up in play store and other stores wish you do it.warm regards,January 16 2017,4
296540,385770,6d2f2ab7-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,No Too many ads  it keeps telling me if I want premium. App sucks,January 15 2017,1
296541,385771,6d6751b8-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Very useful Works as described,January 15 2017,5
296542,385772,6d9e4039-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Complete waste of time A Chromecast or equivalent is far simpler than this ridiculous workaround for Samsung TVs  and actually WORKS. I want the last 15 minutes of my life back.,January 15 2017,1
296543,385774,6e0c1d3b-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Works well for anything which plays on browser. Try to expand it to other apps as well. Like cast from hotstar app. Etc,January 15 2017,5
296544,385775,6f0f837c-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,HD videos not working Please fix this issue with hd button option.,January 15 2017,1
296545,385776,6f497f3d-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Top notch Just what I needed being able to pause with TV remote is brilliant,January 15 2017,5
296546,385777,6f8109fe-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Boo Don't install waste of time,January 14 2017,1
296547,385778,6fb9cd3f-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Casting Really really good   would give more st.ars if I could   it basically takes away the need for having a chrome cast device   you can virtually cast anything. Top notch,January 14 2017,5
296548,385780,70fcad81-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Don't download This app is a joke. Better option is to go buy a google chromecast. You can't even stream anything once you exit the app. Worthless piece of work,January 14 2017,1
296549,385781,71374582-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Works great Works great I can watch movies and show in my tv. The only thing is it keeps disconnecting from my wifi.,January 14 2017,4
296550,385782,716e3403-df64-11e6-8f37-fa163e345ce9,de.twokit.video.tv.cast.browser.samsung,Great app Works perfectly well!,January 14 2017,5
